S.No,Crop Name,ScientificName,n,P,K,Zn,MN_Fe_B_Cu
1,Rice,Oryza sativum,High,M,M,High,Medium
2,Wheat,Triticum,High,Low,M,Medium,Medium
3,Maize,Zea mays,High,High,Low,Low,VeryLow
4,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
5,Coconut,Cocus nucifera,M,High,M,Low,Low
6,Chilli,Capsicum frutescens,High,M,M,Low,Low
7,Cotton,Gossypium,High,M,M,Low,Low
8,Redgram,Cajanus cajan,Low,M,Low,Low,Low
9,Onion,Allium sepa,High,M,High,High,High
10,Potato,Solanum tuberosum,High,High,High,Low,Low
11,Brinjal,Solanum melongena,High,M,M,Low,Low
12,Drumstick,Moringa oleifera,M,Low,High,Low,Low
13,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
14,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
15,Banana,Musa acuminata,High,High,High,M,M
16,Tomato,Solanum lycopersicum,High,M,M,Low,Low
17,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
18,Mango,Mangifera indica,High,High,M,Medium,Medium
19,Castor,Ricinus communis,High,M,High,Medium,Low
20,Mustard,Brassica   ,High,M,M,Low,Low
21,Cucumber,Cucumis sativus,Low,High,High,Low,Low
22,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
23,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
24,Pumpkin,Cucurbita,High,M,High,Medium,Medium
25,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
26,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
27,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
28,Sun Flower,Helianthus,High,M,M,Low,VeryLow
29,Garlic,,High,Low,High,,VeryLow
30,Peas,,High,Low,High,VeryLow,VeryLow
31,Orange,,High,Low,High,VeryLow,VeryLow
32,Celery,,High,Low,High,VeryLow,VeryLow
33,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
34,TableTomato,,High,Low,High,VeryLow,VeryLow
35,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
36,Sorghum,,M,Low,M,VeryLow,VeryLow
37,PearlMillet,,M,Low,M,VeryLow,VeryLow
38,Raagi,,Low,Low,Low,VeryLow,VeryLow
39,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
40,Barley,,Low,Low,Low,VeryLow,VeryLow
41,ChickPea,,M,Low,M,VeryLow,VeryLow
42,PigeonPea,,M,Low,Low,VeryLow,VeryLow
43,SoyaBean,,High,Low,M,VeryLow,VeryLow
44,Jute,,M,Low,M,VeryLow,VeryLow
45,Rubber,,Low,M,Low,,
46,Tea,,High,Low,M,,
47,Tobacco,,High,Low,M,,
48,Apple,,High,Low,M,,
49,CustardApple,,M,Low,M,,
50,WaterMelon,,High,Low,M,,
51,Beetroot,,High,High,High,,
52,Carrot,,High,High,M,,
53,Rice,Oryza sativum,High,M,M,High,Medium
54,Wheat,Triticum,High,Low,M,Medium,Medium
55,Maize,Zea mays,High,High,Low,Low,VeryLow
56,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
57,Coconut,Cocus nucifera,M,High,M,Low,Low
58,Chilli,Capsicum frutescens,High,M,M,Low,Low
59,Cotton,Gossypium,High,M,M,Low,Low
60,Redgram,Cajanus cajan,Low,M,Low,Low,Low
61,Onion,Allium sepa,High,M,High,High,High
62,Potato,Solanum tuberosum,High,High,High,Low,Low
63,Brinjal,Solanum melongena,High,M,M,Low,Low
64,Drumstick,Moringa oleifera,M,Low,High,Low,Low
65,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
66,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
67,Banana,Musa acuminata,High,High,High,M,M
68,Tomato,Solanum lycopersicum,High,M,M,Low,Low
69,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
70,Mango,Mangifera indica,High,High,M,Medium,Medium
71,Castor,Ricinus communis,High,M,High,Medium,Low
72,Mustard,Brassica   ,High,M,M,Low,Low
73,Cucumber,Cucumis sativus,Low,High,High,Low,Low
74,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
75,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
76,Pumpkin,Cucurbita,High,M,High,Medium,Medium
77,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
78,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
79,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
80,Sun Flower,Helianthus,High,M,M,Low,VeryLow
81,Garlic,,High,Low,High,,VeryLow
82,Peas,,High,Low,High,VeryLow,VeryLow
83,Orange,,High,Low,High,VeryLow,VeryLow
84,Celery,,High,Low,High,VeryLow,VeryLow
85,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
86,TableTomato,,High,Low,High,VeryLow,VeryLow
87,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
88,Sorghum,,M,Low,M,VeryLow,VeryLow
89,PearlMillet,,M,Low,M,VeryLow,VeryLow
90,Raagi,,Low,Low,Low,VeryLow,VeryLow
91,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
92,Barley,,Low,Low,Low,VeryLow,VeryLow
93,ChickPea,,M,Low,M,VeryLow,VeryLow
94,PigeonPea,,M,Low,Low,VeryLow,VeryLow
95,SoyaBean,,High,Low,M,VeryLow,VeryLow
96,Jute,,M,Low,M,VeryLow,VeryLow
97,Rubber,,Low,M,Low,,
98,Tea,,High,Low,M,,
99,Tobacco,,High,Low,M,,
100,Apple,,High,Low,M,,
101,CustardApple,,M,Low,M,,
102,WaterMelon,,High,Low,M,,
103,Beetroot,,High,High,High,,
104,Carrot,,High,High,M,,
105,Rice,Oryza sativum,High,M,M,High,Medium
106,Wheat,Triticum,High,Low,M,Medium,Medium
107,Maize,Zea mays,High,High,Low,Low,VeryLow
108,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
109,Coconut,Cocus nucifera,M,High,M,Low,Low
110,Chilli,Capsicum frutescens,High,M,M,Low,Low
111,Cotton,Gossypium,High,M,M,Low,Low
112,Redgram,Cajanus cajan,Low,M,Low,Low,Low
113,Onion,Allium sepa,High,M,High,High,High
114,Potato,Solanum tuberosum,High,High,High,Low,Low
115,Brinjal,Solanum melongena,High,M,M,Low,Low
116,Drumstick,Moringa oleifera,M,Low,High,Low,Low
117,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
118,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
119,Banana,Musa acuminata,High,High,High,M,M
120,Tomato,Solanum lycopersicum,High,M,M,Low,Low
121,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
122,Mango,Mangifera indica,High,High,M,Medium,Medium
123,Castor,Ricinus communis,High,M,High,Medium,Low
124,Mustard,Brassica   ,High,M,M,Low,Low
125,Cucumber,Cucumis sativus,Low,High,High,Low,Low
126,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
127,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
128,Pumpkin,Cucurbita,High,M,High,Medium,Medium
129,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
130,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
131,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
132,Sun Flower,Helianthus,High,M,M,Low,VeryLow
133,Garlic,,High,Low,High,,VeryLow
134,Peas,,High,Low,High,VeryLow,VeryLow
135,Orange,,High,Low,High,VeryLow,VeryLow
136,Celery,,High,Low,High,VeryLow,VeryLow
137,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
138,TableTomato,,High,Low,High,VeryLow,VeryLow
139,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
140,Sorghum,,M,Low,M,VeryLow,VeryLow
141,PearlMillet,,M,Low,M,VeryLow,VeryLow
142,Raagi,,Low,Low,Low,VeryLow,VeryLow
143,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
144,Barley,,Low,Low,Low,VeryLow,VeryLow
145,ChickPea,,M,Low,M,VeryLow,VeryLow
146,PigeonPea,,M,Low,Low,VeryLow,VeryLow
147,SoyaBean,,High,Low,M,VeryLow,VeryLow
148,Jute,,M,Low,M,VeryLow,VeryLow
149,Rubber,,Low,M,Low,,
150,Tea,,High,Low,M,,
151,Tobacco,,High,Low,M,,
152,Apple,,High,Low,M,,
153,CustardApple,,M,Low,M,,
154,WaterMelon,,High,Low,M,,
155,Beetroot,,High,High,High,,
156,Carrot,,High,High,M,,
157,Rice,Oryza sativum,High,M,M,High,Medium
158,Wheat,Triticum,High,Low,M,Medium,Medium
159,Maize,Zea mays,High,High,Low,Low,VeryLow
160,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
161,Coconut,Cocus nucifera,M,High,M,Low,Low
162,Chilli,Capsicum frutescens,High,M,M,Low,Low
163,Cotton,Gossypium,High,M,M,Low,Low
164,Redgram,Cajanus cajan,Low,M,Low,Low,Low
165,Onion,Allium sepa,High,M,High,High,High
166,Potato,Solanum tuberosum,High,High,High,Low,Low
167,Brinjal,Solanum melongena,High,M,M,Low,Low
168,Drumstick,Moringa oleifera,M,Low,High,Low,Low
169,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
170,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
171,Banana,Musa acuminata,High,High,High,M,M
172,Tomato,Solanum lycopersicum,High,M,M,Low,Low
173,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
174,Mango,Mangifera indica,High,High,M,Medium,Medium
175,Castor,Ricinus communis,High,M,High,Medium,Low
176,Mustard,Brassica   ,High,M,M,Low,Low
177,Cucumber,Cucumis sativus,Low,High,High,Low,Low
178,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
179,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
180,Pumpkin,Cucurbita,High,M,High,Medium,Medium
181,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
182,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
183,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
184,Sun Flower,Helianthus,High,M,M,Low,VeryLow
185,Garlic,,High,Low,High,,VeryLow
186,Peas,,High,Low,High,VeryLow,VeryLow
187,Orange,,High,Low,High,VeryLow,VeryLow
188,Celery,,High,Low,High,VeryLow,VeryLow
189,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
190,TableTomato,,High,Low,High,VeryLow,VeryLow
191,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
192,Sorghum,,M,Low,M,VeryLow,VeryLow
193,PearlMillet,,M,Low,M,VeryLow,VeryLow
194,Raagi,,Low,Low,Low,VeryLow,VeryLow
195,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
196,Barley,,Low,Low,Low,VeryLow,VeryLow
197,ChickPea,,M,Low,M,VeryLow,VeryLow
198,PigeonPea,,M,Low,Low,VeryLow,VeryLow
199,SoyaBean,,High,Low,M,VeryLow,VeryLow
200,Jute,,M,Low,M,VeryLow,VeryLow
201,Rubber,,Low,M,Low,,
202,Tea,,High,Low,M,,
203,Tobacco,,High,Low,M,,
204,Apple,,High,Low,M,,
205,CustardApple,,M,Low,M,,
206,WaterMelon,,High,Low,M,,
207,Beetroot,,High,High,High,,
208,Carrot,,High,High,M,,
209,Rice,Oryza sativum,High,M,M,High,Medium
210,Wheat,Triticum,High,Low,M,Medium,Medium
211,Maize,Zea mays,High,High,Low,Low,VeryLow
212,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
213,Coconut,Cocus nucifera,M,High,M,Low,Low
214,Chilli,Capsicum frutescens,High,M,M,Low,Low
215,Cotton,Gossypium,High,M,M,Low,Low
216,Redgram,Cajanus cajan,Low,M,Low,Low,Low
217,Onion,Allium sepa,High,M,High,High,High
218,Potato,Solanum tuberosum,High,High,High,Low,Low
219,Brinjal,Solanum melongena,High,M,M,Low,Low
220,Drumstick,Moringa oleifera,M,Low,High,Low,Low
221,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
222,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
223,Banana,Musa acuminata,High,High,High,M,M
224,Tomato,Solanum lycopersicum,High,M,M,Low,Low
225,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
226,Mango,Mangifera indica,High,High,M,Medium,Medium
227,Castor,Ricinus communis,High,M,High,Medium,Low
228,Mustard,Brassica   ,High,M,M,Low,Low
229,Cucumber,Cucumis sativus,Low,High,High,Low,Low
230,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
231,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
232,Pumpkin,Cucurbita,High,M,High,Medium,Medium
233,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
234,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
235,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
236,Sun Flower,Helianthus,High,M,M,Low,VeryLow
237,Garlic,,High,Low,High,,VeryLow
238,Peas,,High,Low,High,VeryLow,VeryLow
239,Orange,,High,Low,High,VeryLow,VeryLow
240,Celery,,High,Low,High,VeryLow,VeryLow
241,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
242,TableTomato,,High,Low,High,VeryLow,VeryLow
243,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
244,Sorghum,,M,Low,M,VeryLow,VeryLow
245,PearlMillet,,M,Low,M,VeryLow,VeryLow
246,Raagi,,Low,Low,Low,VeryLow,VeryLow
247,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
248,Barley,,Low,Low,Low,VeryLow,VeryLow
249,ChickPea,,M,Low,M,VeryLow,VeryLow
250,PigeonPea,,M,Low,Low,VeryLow,VeryLow
251,SoyaBean,,High,Low,M,VeryLow,VeryLow
252,Jute,,M,Low,M,VeryLow,VeryLow
253,Rubber,,Low,M,Low,,
254,Tea,,High,Low,M,,
255,Tobacco,,High,Low,M,,
256,Apple,,High,Low,M,,
257,CustardApple,,M,Low,M,,
258,WaterMelon,,High,Low,M,,
259,Beetroot,,High,High,High,,
260,Carrot,,High,High,M,,
261,Rice,Oryza sativum,High,M,M,High,Medium
262,Wheat,Triticum,High,Low,M,Medium,Medium
263,Maize,Zea mays,High,High,Low,Low,VeryLow
264,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
265,Coconut,Cocus nucifera,M,High,M,Low,Low
266,Chilli,Capsicum frutescens,High,M,M,Low,Low
267,Cotton,Gossypium,High,M,M,Low,Low
268,Redgram,Cajanus cajan,Low,M,Low,Low,Low
269,Onion,Allium sepa,High,M,High,High,High
270,Potato,Solanum tuberosum,High,High,High,Low,Low
271,Brinjal,Solanum melongena,High,M,M,Low,Low
272,Drumstick,Moringa oleifera,M,Low,High,Low,Low
273,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
274,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
