Block No,Sample No,PH,EC,N(kg/ha),P(kg/ha),K(kg/ha),OC,Avg Rain,Max Temp,Min Temp,Soil Type,EC Rate,PHRate,MN_Fe_B_Cu,Zn,N,P,K
B1,1005,6.5,0.16,189,55.76,150,L,1009.5,36,23,L,HL,Normal,High,Low,Low,High,M
B2,1006,7.77,0.25,214,27.33,174,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B3,1007,8.08,0.33,91,46.25,124,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B4,1008,7.51,0.51,147,37.6,145,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B5,1009,7.7,0.1,133,34,123,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B6,1497,7.97,0.38,189,184,647,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,High
B7,1498,8.32,0.11,84,92,274,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B8,1499,8.46,0.11,189,98,596,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,High
B9,1500,8.03,0.23,189,184,647,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,High
B10,1501,7.96,0.28,245,55,196,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B11,1502,7.48,0.05,112,133,184,L,1009.5,36,23,L,HL,Normal,High,Low,Low,High,M
B12,1534,8.1,0.16,173,34,142,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B13,1535,7.9,0.19,152,33,289,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,High
B14,1583,8.48,0.19,282,48,13,L,1009.5,36,23,L,HL,Alkaline,High,Low,M,High,M
B15,1600,8.31,0.1,133,19,104,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,M,Low
B16,1614,8.22,0.36,196,59,182,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,M
B17,1796,8.77,0.06,104,26,280,L,1009.5,36,23,L,HL,Alkaline,High,Low,Low,High,High
B18,1797,8.8,0.21,120,55,255,L,1009.5,36,23,R,HL,Alkaline,High,Low,Low,High,M
B19,1798,8.7,0.06,186,78,172,L,1009.5,36,23,R,HL,Alkaline,High,Low,Low,High,M
B20,1928,8.29,0.28,352.5,46,778,L,1009.5,36,23,R,HL,Alkaline,High,Low,M,High,High
B21,1929,8.14,0.59,412.5,27,390,L,1009.5,36,23,R,HL,Alkaline,High,Low,M,High,High
B22,2202,8.35,0.17,210,12.3,319,L,1009.5,36,23,R,HL,Alkaline,High,Low,Low,M,High
B23,2203,8.63,0.28,240,13.4,289,L,1009.5,36,23,R,HL,Alkaline,High,Low,Low,M,High
B24,2204,8.7,0.22,242,13.5,360,L,1009.5,36,23,R,HL,Alkaline,High,Low,Low,M,High
